Title,URL,Source,Journalist(s),Published Date,Content,Category,Label
New Law Requires Texans To Show ID To Buy Phallic Foods,https://theonion.com/new-law-requires-texans-to-show-id-to-buy-phallic-foods/,The Onion,,28-03-25,"AUSTIN, TX—In an effort to crack down on the statewide proliferation of adult foodstuffs, the Texas Legislature passed a new law Friday requiring all residents to show identification to buy phallic foods. “From bananas to cucumbers to submarine sandwiches, obscene foods will no longer be allowed to fall into the hands of minors in the Lone Star State,” said Gov. Greg Abbott, adding that an officially issued driver’s license or passport would be needed to purchase a baguette, which is defined in the legislation as “any elongated breadlike object used to simulate male genitals.” “No decent person should be buying lewd produce and baked goods, which is why these items need to be safely placed behind locked plexiglass cases or in an adults-only section of the supermarket where innocent kids can’t see them. And rest assured, if you are found to be buying a corn dog or eggplant for a child, you’ll be placed on a watchlist.” At press time, Texas had reportedly expanded the law to require an ID to purchase any deli meats that realistically mimic vaginal texture.

",Politics,0
Trump Announces 25% Tariff On Talking Cars,https://theonion.com/trump-announces-25-tariff-on-talking-cars/,The Onion,,28-03-25,"WASHINGTON—In a stunning escalation of his ongoing automotive trade war, President Donald Trump announced Friday that he was imposing a 25% tariff on foreign-made cars that talk, make wisecracks, and have real emotions just like people. “For too long, the American market for cars that not only talk but have a personality all their own has been flooded with imports,” Trump said in a fiery address, stating that U.S. manufacturers of sentient, anthropomorphized cars that flap their hoods to speak, use their headlights to see, and curl their bumpers to smile would profit greatly under the new policy. “Our rivals are sending us talking cars that honk to flirt or use their radios to deliver sly zingers after they win a big race. Herbie the Love Bug is a Volkswagen Beetle. Let’s send him back to Germany where he belongs.” Trump added that he would also sign an executive order making the official language of talking cars English.

",Politics,0
Big Bird Seen Working At Local Starbucks After PBS Funding Cuts,https://theonion.com/big-bird-seen-working-at-local-starbucks-after-pbs-funding-cuts/,The Onion,,28-03-25,,Economy,0
Cardinals Begin Placing Stickers On Vatican Relics They Want When Pope Francis Dies,https://theonion.com/cardinals-begin-placing-stickers-on-vatican-relics-they-want-when-pope-francis-dies/,The Onion,,27-03-25,"VATICAN CITY—With many remarking that they’d had their eyes on the holy artifacts since they first saw them, cardinals of the Roman Catholic Church reportedly began placing stickers this week on the Vatican relics they wanted when Pope Francis dies. “I’ll take these fragments of the true cross, I’ll take St. Peter’s bones, and before someone else claims it, I’ll take the Shroud of Turin,” said His Eminence Giovanni Battista Re, dean of the College of Cardinals, who placed an adhesive red dot onto the Veil of Veronica and remarked that it would bring a much needed pop of color to his otherwise drab bedroom. “Honestly, Pope Francis and I already talked about my inheritance, but I don’t want to miss out on the good stuff like I did when John Paul died. There’s no way Cardinal Mamberti is getting his grubby little hands on my crown of thorn fragments. Or my favorite, the holy foreskin.” At press time, Cardinal Re was kicking himself after a fellow prelate had beaten him to the punch and placed a sticker on the Holy Lance.

",World News,0
Food Stamps: Myth Vs. Fact,https://theonion.com/food-stamps-myth-vs-fact/,The Onion,,27-03-25,"More than 41 million Americans receive monthly benefits through the Supplemental Nutrition Assistance Program, also known as food stamps.The Oniondispels the common myths surrounding SNAP.

MYTH: Defunding food stamp programs won’t actually save the government money.

FACT: Cutting food stamp funding will eliminate millions of unnecessary citizens.

MYTH: People who receive food stamps don’t work.

FACT: You are browsing the internet instead of working right now.

MYTH: Democrats use food stamps as a bribe so people will vote for them.

FACT: Democrats would never be this cutthroat or clever.

MYTH: You can be disqualified from food stamp programs if you own a car.

FACT: Jesus Christ, don’t give them more ideas.

MYTH: SNAP is filled with fraud and corruption.

FACT: The sole remaining SNAP employee is a real solid dude.

MYTH: You can use food stamps to buy alcohol.

FACT: Only if you know how to make hooch out of Juicy Juice.

MYTH: A reshaped SNAP could force Americans to pass drug tests before they receive food stamps.

FACT: Food stamp eligibility will be determined only by combat in the BloodDome.

",Politics,0
Pete Hegseth Blows Into Breathalyzer To Unlock Phone,https://theonion.com/pete-hegseth-blows-into-breathalyzer-to-unlock-phone/,The Onion,,27-03-25,"WASHINGTON—Grumbling to himself as he repeatedly dropped the device, U.S. Secretary of Defense Pete Hegseth was reportedly blowing into a Breathalyzer Thursday in an attempt to unlock his phone. “Stupid fucking judge made me put this on my iPhone,” said the head of the nation’s largest government agency, snapping his fingers to get the attention of his deputy defense secretary and ask his subordinate to blow into the Breathalyzer for him. “Hey, could you do me a favor here? It’s not working, I think because I used mouthwash before I left the house this morning. Please? It’s really important. I got to send some war plans.” At press time, sources confirmed Hegseth was sleeping it off in a SCIF.

",Entertainment,0
Study Finds Breastfed Children Far Better At Suckling Later In Life,https://theonion.com/study-finds-breastfed-children-far-better-at-suckling-later-in-life/,The Onion,,27-03-25,"CAMBRIDGE, MA—In a revelation shedding light on a previously unexamined facet of childhood development, a study published Thursday by researchers at Harvard University found that those who were breastfed as infants tended to excel at suckling later in life. “In all 50 states, children who were breastfed outperformed their peers on suckling aptitude tests, having far more pronounced suckling power and an average latch force of 9.2,” said study co-author Holly Kline, outlining major breakthroughs from the decades-long study on the impacts of infant nursing and the ability to suck milk directly from a breast as an adult. “By every metric, those who suckled heavily as babies were far more prepared for accessing the milk pools in adulthood than those who did not. It’s clear that adults who were formula-fed as infants face significant disadvantages when it comes to suckling later in life, and this can only be remedied by years of occupational suckling therapy.” Kline concluded by cautioning that despite the encouraging results, those who suckle excessively as infants may develop suckling strength so intense that in adulthood they slurp a nipple clear off the body.

",Science,0
Report: Anti-Science Attitude Strongest Among Those Who Believe Turtle Has Little Apartment Inside Shell,https://theonion.com/report-anti-science-attitude-strongest-among-those-who-believe-turtle-has-little-apartment-inside-shell/,The Onion,,26-03-25,"CHICAGO—Highlighting a rising distrust in evidence-based knowledge,  a report published Wednesday in theAmerican Journal Of Sociologyfound that anti-science attitudes were strongest amongst those who believe turtles have a little apartment inside their shell. “Americans who reject or question established scientific consensus are more likely to maintain the wholly unsupported theory that when a turtle pulls his head and feet into his shell, he’s actually stepping into a tiny home,” said the report’s author, Professor Darius Aybar, adding that when shown an X-ray that disproved their assertion, people simply doubled down and insisted that the turtle was actually inside the shell, seated in an overstuffed armchair and reading a book very slowly by the fireplace. “No evidence can sway these individual from their conviction that a turtle’s shell contains a cozy one-room residence with rustic wooden floors, a dining table permanently set with a hot-cooked dinner, and, somehow, a few windows with light streaming through dainty curtains. If you hand them a shell to examine, they’ll accuse of having removed the claw-foot bathtub where the turtle takes a sudsy bubble bath and say you are trying to trick them. Across the political spectrum, many people harbor the belief that when a turtle goes to sleep, he puts on a nightcap and pulls a patchwork quilt over him in a canopy bed before blowing out a stub of candle.” At press time, several states had introduced legislation that would require the turtle-apartment theory to be included in high school biology textbooks.

",Science,0
Laid-Off 23andMe Employee Packs Up Box Full Of Bodily Fluids,https://theonion.com/laid-off-23andme-employee-packs-up-box-full-of-bodily-fluids/,The Onion,,26-03-25,"SUNNYVALE, CA—Creating a trail of liquid that dripped from her desk to her car, laid-off 23andMe employee Marcia Nashold reportedly packed up her box of bodily fluids Wednesday morning and vacated her office. According to sources, the 52-year-old data engineer emptied the contents of her desk drawers, filing cabinet, and mini fridge into the cardboard box, filling the container to its brim. Nashold was then overheard muttering “a lot of memories in these fluids” as she trudged to the elevator, the box’s contents occasionally splashing her shirt. Reports stated that as the elevator doors closed, the terminated employee nodded and made eye contact with another laid-off colleague, who was attempting to wring an unknown fluid out of a towel and into a box of his own. At press time, witnesses confirmed that Nashold had gotten into a screaming match with 23andMe security guards who had confiscated the box despite her claims that the fluids were personal fluids.

",Crime,0
Teen Warned Not To Accept Group Chat Invites From National Security Advisors She Doesn’t Know,https://theonion.com/teen-warned-not-to-accept-group-chat-invites-from-national-security-advisors-she-doesnt-know/,The Onion,,26-03-25,,Crime,0
"‘I Messed Up At Work Again,’ Crestfallen Michael Waltz Texts Wife, National Geographic Editorial Staff",https://theonion.com/i-messed-up-at-work-again-crestfallen-michael-waltz-texts-wife-national-geographic-editorial-staff/,The Onion,,25-03-25,,Entertainment,0
Democrats Huddle To Decide How Best To Let Massive Republican Fuck-Up Slip Through Fingers,https://theonion.com/democrats-huddle-to-decide-how-best-to-let-massive-republican-fuck-up-slip-through-fingers/,The Onion,,25-03-25,,Politics,0
DOJ Designates Posting Photos Of Balding Elon Musk As Domestic Terrorism,https://theonion.com/doj-designates-posting-photos-of-balding-elon-musk-as-domestic-terrorism/,The Onion,,21-03-25,"WASHINGTON—Warning that the charge carried a five-year mandatory minimum sentence, the U.S. Department of Justice declared Friday that the distribution of images featuring a balding Elon Musk constituted an act of domestic terrorism. “For the benefit of all Americans, anyone who posts or reposts photos from Mr. Musk’s PayPal days will be prosecuted for terrorism,” said Attorney General Pam Bondi, who confirmed the Justice Department was already prosecuting multiple cases in which social media users were alleged to have disseminated decades-old photos of the DOGE leader’s receding hairline. “Anyone who likes or replies to the photos will be treated as a terrorist sympathizer. If you possess these images, delete them now. Elon Musk is a patriot with a great American hairline.” At press time, President Donald Trump was showing his support for Musk by getting hair plugs in a televised press conference on the White House South Lawn.

",Politics,0
Tips For Dealing With Spam Texts,https://theonion.com/tips-for-dealing-with-spam-texts/,The Onion,,21-03-25,"Spam texts are on the rise.The Onionshares tips for dealing with scam and spam messages on your phone.

Remember that the IRS will never contact you over text, unless you are in serious trouble and need to pay right now.

If replying with STOP doesn’t work, try CUT IT OUT.

Compare suspicious messages with real exchanges you’ve had with beautiful rich women whom you met on a train in Taiwan.

Report anything that looks like a scam to Netflixporn4cashj7879.ru.

Never respond to suspicious texts such as “Hey Nate, I’ve really become concerned about your drinking habits.”

Let them die in the graveyard of all your other text messages.

Try not to think about the fact that it could be a real free luxury cruise and it’s slipping through your fingers.

Do what the text says. If it’s in writing, it’s the law.

",Technology,0
Nation’s Fuckups Announce Plan To Get Shit Together For Real This Time,https://theonion.com/nations-fuckups-announce-plan-to-get-shit-together-for-real-this-time/,The Onion,,21-03-25,"WASHINGTON—Stressing that they were approaching the future with the utmost seriousness, the nation’s fuckups announced a plan Friday to get their shit together for real this time. “While I know we’ve made assurances like this in the past, as of today we are really and truly committed to putting an end to the bullshit and getting our lives on track,” said fuckup Lionel Snow, 37, joining millions of incompetent reprobates across the country to outline the steps they intended to take in order to leave all that dumbass garbage from their past behind and start acting like a goddamn adult. “I’m happy to reveal that things have finally started turning our way, and with a couple of lucky breaks, we could have something pretty sweet going that’s totally legit—swear to fucking God. So let me be clear: It’s long past time for us to straighten up and fly right, and that is exactly what you will be seeing from here on out.” Snow added that all they needed was $4,500 to get started.

",Politics,0
What To Know About Beef Tallow,https://theonion.com/what-to-know-about-beef-tallow/,The Onion,,20-03-25,"Beef tallow, also known as rendered beef fat, is trending among beauty and health influencers. Here is everything you need to know about the by-product.

Q: What is beef tallow used for?

A: Cooking, skincare, and fixing squeaky cows.

Q: Why should I cook with it?

A: To crisp up those soft, supple arteries.

Q: Where can I get beef tallow?

A: Nail a metal tap into the side of a cow and let the liquid run into a bucket.

Q: Is it true that RFK Jr. cooked his Thanksgiving turkey in tallow?

A: No, but he did cook his Thanksgiving mountain lion in tallow.

Q: What are the benefits of eating beef tallow?

A: You can rest easy knowing that no part of your meal was made without animal suffering.

Q: What is the main benefit of using beef tallow as a facial moisturizer?

A: It helps grow your tradwife TikTok account.

Q: Will it really make my skin look better?

A: Have you ever seen a cow with acne?

Q: How do I apply it?

A: Just lie down under the deep fryer at your local Carl’s Jr. and let gravity do the rest.

",Science,0
Trump Announces SEAL Team 6 Killed U.S. Protester In Daring Overnight Raid,https://theonion.com/trump-announces-seal-team-6-killed-u-s-protester-in-daring-overnight-raid/,The Onion,,20-03-25,"WASHINGTON—Addressing the nation to reveal that one of the greatest threats facing the country had been eradicated, President Donald Trump announced Thursday that SEAL Team Six had killed a U.S. protester in a daring overnight raid. “Tonight, I can report to the American people and to the world that the United States has conducted an operation that killed Daniel J. McLeigh, the notorious activist responsible for dozens of peaceful protests on the University of Pennsylvania campus,” said the commander-in-chief, describing the moment in the Situation Room when he ordered a Navy SEAL special missions unit to land on the university’s quad, raid a freshman dormitory, and eliminate the undergrad with extreme prejudice as “the proudest of his presidency.” “These boys flew in under the cover of darkness. They used night-vision goggles and thermal tracking to make sure we never lost track of the target. We did have to abandon one Black Hawk helicopter after it crashed into the dining hall, but that’s a small price to pay for making sure we’ll never again live in fear of this English major. More details will be released in the coming days, but for now I’ll just say this: We got him. We got him, folks. Thank you. May God bless you. And may God bless the United States of America.” The White House also released a statement confirming the 19-year-old’s body had been buried in the Delaware River so that he would not have a grave that became a site of pilgrimage for other politically engaged citizens.

",Politics,0
Study: 93% Of Individuals With One Earbud In Receiving Top-Secret Commands From HQ,https://theonion.com/study-93-of-individuals-with-one-earbud-in-receiving-top-secret-commands-from-hq/,The Onion,,20-03-25,"WASHINGTON—Despite the risks to national security from revealing such confidential information, the Pew Research Center released a study Thursday proving that 93% of individuals with one earbud in are receiving top-secret commands from HQ. “Nearly every person you see in public wearing a single earbud is currently undertaking a clandestine mission on behalf of an undisclosed government agency,” the report read in part, going on to state that the increase in persons wearing one earbud was directly correlated to the decrease in access to phone booths where agents would have previously accepted their assignments. “The man on the bus bobbing his head to “music” is actually carrying out a covert hit via a directive from headquarters. Same with the woman at the grocery store engaging in a “phone call” with her “sister.” These operatives are highly skilled at blending in with the public while they wait for confirmation that Operation Sidewinder is a go. Then they move into position and take out their target.” While a spokesperson for the Defense Department dismissed the findings as “total fiction,” the study also found that the Pentagon is the No. 1 purchaser of earbuds in the country.

",Technology,0
New Federal Law Mandates Women Talk With Baby Voice,https://theonion.com/new-federal-law-mandates-women-talk-with-baby-voice/,The Onion,,19-03-25,"WASHINGTON—In a decisive victory for longtime champions of the cause, congressional leaders announced Wednesday the passage of a new federal law mandating that all women talk with a baby voice. “Under the terms of this legislation, every American female over the age of 18 is now required to speak with short, simple words in a high vocal register,” said Senate Majority Leader John Thune, underlining the Republican mission of paring down the vocabularies of every adult woman in the United States to a maximum of five words, including “night night,” “wuv,” and “tummy.” “This goes for all women, including my Senate colleagues: You must immediately tie your hair into pigtails and replace your standard laugh with a coquettish giggle. Any woman not wearing a schoolgirl uniform will be considered to have acted in direct violation of this law, as will any woman who refers to a man by any term other than ‘daddy.’” Thune went on to express his support for a similar law that would require all the nation’s men to lower their voices by at least two octaves and communicate solely through grunts.

",Politics,0
JD Vance Reminded Caddies Not Allowed In Clubhouse,https://theonion.com/jd-vance-reminded-caddies-not-allowed-in-clubhouse/,The Onion,,18-03-25,"WEST PALM BEACH, FL—Finding himself stopped upon entering a building at the Trump International Golf Club, Vice President JD Vance was reportedly reminded by a staff member Tuesday that caddies are not allowed in the clubhouse. “Sir, sir, you can’t go in there,” said head of guest services Melanie Cole, gently taking the vice president by the elbow and escorting him back out the front door. “We can’t have caddies scrounging for tips around the dining area. If you’re looking for a restroom or somewhere to wash off your shoes, you’ll find everything you need in the caddy shack down the road. And the host stand will radio if you’re needed by a club member, all right? Now I don’t want to see you in here again, or we’ll have to dock your pay.” Cole added privately that she suspected Vance was the one stealing golf pencils.

",Politics,0
"Dejected Schumer Superfan Can’t Believe He Dropped $10,000 On VIP Party Package",https://theonion.com/dejected-schumer-superfan-cant-believe-he-dropped-10000-on-vip-party-package/,The Onion,,17-03-25,"BALTIMORE—In the wake of news that the New York senator had postponed his book tour amid controversy over his vote for a spending bill, dejected Chuck Schumer superfan Sean Angston told reporters Monday that he couldn’t believe he had dropped $10,000 on a VIP party package. “Chuck is basically my idol, so I can’t tell you how excited I was to do that backstage champagne toast with him and get the autographed tote bag,” said Angston, who went on to express reservations about ever buying the Chuck Schumer VIP Party Experience again after seeing how the minority leader had treated ardent fans who had sunk thousands on a supposedly “unforgettable meet and greet” with him. “If they’re gonna offer these VIP packages, they need to realize they’re playing with the dreams of fans. At this point, it doesn’t matter if they mail me the limited-edition poster with his headshot on it. Too little, too late in my book. This totally ruined my birthday plans, too.” At press time, Angston had announced plans to get over the disappointment by purchasing a Preshow Party Package with Sen. Michael Bennet featuring specialty Bennet-themed cocktails.

",Entertainment,0
JD Vance’s French Horn Solo Booed At Kennedy Center,https://theonion.com/jd-vances-french-horn-solo-booed-at-kennedy-center/,The Onion,,14-03-25,"WASHINGTON—Failing to receive the reaction he anticipated from audience members, JD Vance was booed at the John F. Kennedy Center for the Performing Arts while playing a French horn solo, sources confirmed Friday. The stage curtains reportedly rose to reveal the vice president, an amateur horn player, standing by himself behind a music stand, a sight that elicited gasps and murmurs from those in attendance. According to sources, the crowd began booing and jeering Vance within the first 15 seconds of his performance of Franz Strauss’s Horn Concerto, Op. 8, causing the vice president to quickly lose his confidence and begin playing cracked and flat notes. Several reports indicated that the vice president attempted to make eye contact with his wife, second lady Usha Vance, who sat in the box tier, but she only looked away and stared down at her hands. At press time, Vance was said to have dropped his French horn to the floor and run off the stage in tears, knocking over the music stand in the process.

",Politics,0
RFK Jr. Claims Measles Can Be Cured With A Good Concealer,https://theonion.com/rfk-jr-claims-measles-can-be-cured-with-a-good-concealer/,The Onion,,14-03-25,"WASHINGTON—In the wake of a growing outbreak that has sickened hundreds and killed two in West Texas and New Mexico, Health and Human Services Secretary Robert F. Kennedy Jr. claimed Friday that measles could be cured with a good concealer. “If you contract measles or suspect you have contracted measles, I recommend immediately applying a high-quality, full-coverage liquid or cream color corrector to affected areas,” said Kennedy, who added that HHS was rushing to distribute facial cleanser, foundation, and 10-ounce tubes of L’Oréal Infallible to pharmacies in the region. “Our nation’s top infectious disease doctors recommend anyone who has been exposed to measles immediately use a ring light to assess their skin, apply a dab of 24-hour concealer, and then smooth with a brush or Beautyblender makeup sponge. The truth is, if Americans just had proper access to lightweight cosmetic products capable of hiding blemishes, eliminating uneven skin tone, and highlighting natural complexion, measles could be eradicated.” At press time, Kennedy had released a makeup tutorial where he demonstrated how to apply concealer manufactured by his wife Cheryl Hines’ makeup company for extra measles protection.

",Science,0
Report: More Americans Moving Away From Urban Areas For Rural Life Where They Have Escalating Feud With Beaver,https://theonion.com/report-more-americans-moving-away-from-urban-areas-for-rural-life-where-they-have-escalating-feud-with-beaver/,The Onion,,14-03-25,"CAMBRIDGE, MA—Suggesting the reversal of a longstanding historical trend towards urbanization, a report published Tuesday by researchers at Harvard University revealed that more Americans were moving away from cities to pursue a rural life where they have an escalating feud with a beaver. “Our findings indicate there has been a 15% increase in Americans who trade the hustle and bustle of metropolitan life for an agrestic existence in which they dismantle a small beaver dam on their property, leading the determined rodent to seek retribution,” said the report’s lead author, Keith Rawlings, noting that rising rents and concerns about crime had driven even long-term city dwellers to purchase a secluded woodland home whose walls, cabinets, and tables would ultimately be gnawed into a series of elaborate booby traps by the vengeful beaver and his family. “More U.S. citizens are leaving behind the nightlife and cultural events of large urban centers, preferring to spend their disposable income on a faulty beaver-trapping kit, an eccentric exterminator who will end up poisoning himself, and a two-barrel shotgun they will use to destroy their remaining possessions in a desperate pursuit of the elusive semiaquatic mammal. While many say they miss the convenience and variety of cities, they nonetheless prefer a country life in which they realize the beaver would make the perfect mascot for the big ad campaign they’ve been working on and ultimately learn to live in peace with the creature.” Rawlings added that, by contrast, a relatively negligible number of Americans were choosing to leave rural areas in pursuit of an urban life in which they befriend a wise-cracking pigeon.

",Environment,0
Elon Musk Creates Federal Employee Revenge Porn Database,https://theonion.com/elon-musk-creates-federal-employee-revenge-porn-database/,The Onion,,11-03-25,"WASHINGTON—Promising to use the U.S. DOGE Service to usher in a new age of government accountability and transparency, Elon Musk ordered the creation of a federal employee revenge porn database this week. “Federal employees have been lazy and unmotivated for years, so to ensure productivity going forward, all government workers must email me private nudes they would never want leaked,” said Musk, who warned members of the U.S. civil service that failing to send in a sexually explicit video in which their face was clearly visible would be considered a resignation. “In the event of insubordination or noncompliance with executive orders, these private porn videos will be immediately posted to Pornhub and other sites using the employee’s full name. I don’t want any of that softcore shit either—only videos with full penetration or clear oral sex acts will be considered valid. DOGE employees and myself will be personally reviewing each video to ensure compliance and will reject any videos deemed not explicit enough.” Musk added that for any federal employee who does not currently have a qualifying sex tape, AI would be used to create one.

",Technology,0
